kabupaten,_0_5,_6_12,_13_17,_18_24,_25_44,_45_59,_60_plus,total_per_kabupaten
KABUPATEN BOGOR,5,7,5,0,0,0,0,17
KABUPATEN SUKABUMI,7,40,68,0,0,0,0,115
KABUPATEN CIANJUR,3,7,3,0,0,0,0,13
KABUPATEN BANDUNG,15,59,60,0,0,0,0,134
KABUPATEN GARUT,3,5,6,0,0,0,0,14
KABUPATEN TASIKMALAYA,10,27,26,0,0,0,0,63
KABUPATEN CIAMIS,2,7,9,0,0,0,0,18
KABUPATEN KUNINGAN,1,4,13,0,0,0,0,18
KABUPATEN CIREBON,13,39,29,0,0,0,0,81
KABUPATEN MAJALENGKA,3,7,8,0,0,0,0,18
KABUPATEN SUMEDANG,4,5,9,0,0,0,0,18
KABUPATEN INDRAMAYU,4,8,3,0,0,0,0,15
KABUPATEN SUBANG,1,8,18,0,0,0,0,27
KABUPATEN PURWAKARTA,1,9,8,0,0,0,0,18
KABUPATEN KARAWANG,4,12,7,0,0,0,0,23
KABUPATEN BEKASI,5,18,22,0,0,0,0,45
KABUPATEN BANDUNG BARAT,4,9,5,0,0,0,0,18
KABUPATEN PANGANDARAN,4,27,2,0,0,0,0,33
KOTA BOGOR,4,18,12,0,0,0,0,34
KOTA SUKABUMI,7,26,20,0,0,0,0,53
KOTA BANDUNG,34,117,57,0,0,0,0,208
KOTA CIREBON,1,11,3,0,0,0,0,15
KOTA BEKASI,17,30,20,0,0,0,0,67
KOTA DEPOK,16,44,37,0,0,0,0,97
KOTA CIMAHI,2,7,4,0,0,0,0,13
KOTA TASIKMALAYA,1,8,6,0,0,0,0,15
KOTA BANJAR,0,2,13,0,0,0,0,15
